timestamp,equity,cash,realized_pnl,unrealized_pnl,drawdown,open_position_qty
1762300800000014273,100000.00,100000.00,0.00,0.00,0.00,0
1762300801020036897,100000.00,100000.00,0.00,0.00,0.00,0
1762300802025521065,100000.00,100000.00,0.00,0.00,0.00,0
1762300803030062819,100010.33,99997.83,0.00,12.50,0.00,1
1762300804041687415,99997.83,99997.83,0.00,0.00,12.50,1
1762300805052657991,99997.83,99997.83,0.00,0.00,12.50,1
1762300806106381439,99997.83,99997.83,0.00,0.00,12.50,1
1762300807108632125,100020.66,100020.66,25.00,0.00,-10.33,0
1762300808121673785,100020.66,100020.66,25.00,0.00,-10.33,0
1762300809590192733,100020.66,100020.66,25.00,0.00,-10.33,0
1762300810598276187,100020.66,100020.66,25.00,0.00,-10.33,0
1762300811676276031,100020.66,100020.66,25.00,0.00,-10.33,0
1762300812857945039,100020.66,100020.66,25.00,0.00,-10.33,0
1762300813869012389,100020.66,100020.66,25.00,0.00,-10.33,0
1762300814870481893,100020.66,100020.66,25.00,0.00,-10.33,0
1762300815904850017,100020.66,100020.66,25.00,0.00,-10.33,0
1762300816918998223,100020.66,100020.66,25.00,0.00,-10.33,0
1762300817934584701,100020.66,100020.66,25.00,0.00,-10.33,0
1762300818958914179,100020.66,100020.66,25.00,0.00,-10.33,0
1762300820052223157,100020.66,100020.66,25.00,0.00,-10.33,0
1762300821053118981,100020.66,100020.66,25.00,0.00,-10.33,0
1762300822105794793,100020.66,100020.66,25.00,0.00,-10.33,0
1762300823179436039,100020.66,100020.66,25.00,0.00,-10.33,0
1762300824190368065,100020.66,100020.66,25.00,0.00,-10.33,0
1762300825224409865,100020.66,100020.66,25.00,0.00,-10.33,0
1762300826229007273,100020.66,100020.66,25.00,0.00,-10.33,0
1762300827257164715,100020.66,100020.66,25.00,0.00,-10.33,0
1762300828258953709,100020.66,100020.66,25.00,0.00,-10.33,0
1762300829287531919,100020.66,100020.66,25.00,0.00,-10.33,0
1762300830314501627,100020.66,100020.66,25.00,0.00,-10.33,0
1762300831325270947,100020.66,100020.66,25.00,0.00,-10.33,0
1762300832480381771,100020.66,100020.66,25.00,0.00,-10.33,0
1762300833680224883,100018.49,100018.49,25.00,0.00,0.00,1
1762300834927635647,100018.49,100018.49,25.00,0.00,0.00,1
1762300835934640695,100018.49,100018.49,25.00,0.00,0.00,1
1762300837044641743,100018.49,100018.49,25.00,0.00,0.00,1
1762300838260760471,100018.49,100018.49,25.00,0.00,0.00,1
1762300839434696153,100018.49,100018.49,25.00,0.00,0.00,1
1762300840451360981,100018.49,100018.49,25.00,0.00,0.00,1
1762300841559685727,100018.49,100018.49,25.00,0.00,0.00,1
1762300842576490827,100018.49,100018.49,25.00,0.00,0.00,1
1762300843663386485,100018.49,100018.49,25.00,0.00,0.00,1
1762300844677778729,100018.49,100018.49,25.00,0.00,0.00,1
1762300845934608825,100030.99,100018.49,25.00,12.50,0.00,1
1762300846984770885,100030.99,100018.49,25.00,12.50,0.00,1
1762300847991184505,100030.99,100018.49,25.00,12.50,0.00,1
1762300849016307255,100030.99,100018.49,25.00,12.50,12.50,1
1762300850051507897,100030.99,100018.49,25.00,12.50,12.50,1
1762300851052069731,100030.99,100018.49,25.00,12.50,12.50,1
1762300852057127007,100030.99,100018.49,25.00,12.50,12.50,1
1762300853064667349,100018.49,100018.49,25.00,0.00,25.00,1
1762300854127665047,100018.49,100018.49,25.00,0.00,25.00,1
1762300855133347911,100030.99,100018.49,25.00,12.50,12.50,1
1762300856149880313,100030.99,100018.49,25.00,12.50,12.50,1
1762300857161302965,100030.99,100018.49,25.00,12.50,12.50,1
1762300858166287419,100030.99,100018.49,25.00,12.50,12.50,1
1762300859231613333,100030.99,100018.49,25.00,12.50,12.50,1
1762300860233657783,100030.99,100018.49,25.00,12.50,12.50,1
1762300861278438227,100030.99,100018.49,25.00,12.50,12.50,1
1762300862353057671,100030.99,100018.49,25.00,12.50,12.50,1
1762300863356400463,100030.99,100018.49,25.00,12.50,12.50,1
1762300864358403103,100043.49,100018.49,25.00,25.00,0.00,1
1762300865371125997,100053.82,100053.82,62.50,0.00,-10.33,0
1762300866430380745,100053.82,100053.82,62.50,0.00,-10.33,0
1762300867558379775,100053.82,100053.82,62.50,0.00,-10.33,0
1762300868810468317,100053.82,100053.82,62.50,0.00,-10.33,0
1762300869832701839,100053.82,100053.82,62.50,0.00,-10.33,0
1762300871268544407,100053.82,100053.82,62.50,0.00,-10.33,0
1762300872273481905,100026.65,100051.65,62.50,-25.00,37.50,1
1762300873310349895,100014.15,100051.65,62.50,-37.50,50.00,1
1762300874329538919,100036.98,100036.98,50.00,0.00,27.17,0
1762300875396757351,100022.31,100034.81,50.00,-12.50,41.84,1
1762300876442901415,100022.31,100034.81,50.00,-12.50,41.84,1
1762300877452259735,100022.31,100034.81,50.00,-12.50,41.84,1
1762300878494711689,100034.81,100034.81,50.00,0.00,29.34,1
1762300879751409315,100034.81,100034.81,50.00,0.00,29.34,1
1762300880784319833,100034.81,100034.81,50.00,0.00,29.34,1
1762300881834280197,100034.81,100034.81,50.00,0.00,29.34,1
1762300882846494813,100034.81,100034.81,50.00,0.00,29.34,1
1762300883987553013,100034.81,100034.81,50.00,0.00,29.34,1
1762300885098703163,100022.31,100034.81,50.00,-12.50,41.84,1
1762300886099280271,100022.31,100034.81,50.00,-12.50,41.84,1
1762300887540630845,100022.31,100034.81,50.00,-12.50,41.84,1
1762300888549194203,100009.81,100034.81,50.00,-25.00,54.34,1
1762300889554816099,100009.81,100034.81,50.00,-25.00,54.34,1
1762300890564151039,99997.31,100034.81,50.00,-37.50,66.84,1
1762300891599425013,99997.31,100034.81,50.00,-37.50,66.84,1
1762300892780936819,99997.31,100034.81,50.00,-37.50,66.84,1
1762300893800660605,100009.81,100034.81,50.00,-25.00,54.34,1
1762300895098201823,100009.81,100034.81,50.00,-25.00,54.34,1
1762300896359876267,99997.31,100034.81,50.00,-37.50,66.84,1
1762300897545205035,99984.81,100034.81,50.00,-50.00,79.34,1
1762300898569077437,99972.31,100034.81,50.00,-62.50,91.84,1
1762300899593662971,99972.31,100034.81,50.00,-62.50,91.84,1
1762300900603381183,99984.81,100034.81,50.00,-50.00,79.34,1
1762300901625133401,99997.31,100034.81,50.00,-37.50,66.84,1
1762300902722876635,99997.31,100034.81,50.00,-37.50,66.84,1
1762300903772959215,99997.31,100034.81,50.00,-37.50,66.84,1
1762300904940630089,99984.81,100034.81,50.00,-50.00,79.34,1
1762300905968505333,99984.81,100034.81,50.00,-50.00,79.34,1
1762300907153157687,99984.81,100034.81,50.00,-50.00,79.34,1
1762300908452173949,99984.81,100034.81,50.00,-50.00,79.34,1
1762300909481498021,99984.81,100034.81,50.00,-50.00,79.34,1
1762300910505341791,99997.31,100034.81,50.00,-37.50,66.84,1
1762300911615068617,99984.81,100034.81,50.00,-50.00,79.34,1
1762300912625354081,100007.64,100007.64,25.00,0.00,56.51,0
1762300913637904495,100007.64,100007.64,25.00,0.00,56.51,0
1762300914878729457,100007.64,100007.64,25.00,0.00,56.51,0
1762300915970381135,100007.64,100007.64,25.00,0.00,56.51,0
1762300917052796407,100007.64,100007.64,25.00,0.00,56.51,0
1762300918193244045,100007.64,100007.64,25.00,0.00,56.51,0
1762300919480618433,100007.64,100007.64,25.00,0.00,56.51,0
1762300920482430161,100007.64,100007.64,25.00,0.00,56.51,0
1762300921637268195,100007.64,100007.64,25.00,0.00,56.51,0
1762300922701703041,100005.47,100005.47,25.00,0.00,58.68,1
1762300924048965357,100017.97,100005.47,25.00,12.50,46.18,1
1762300925244652363,100030.47,100005.47,25.00,25.00,33.68,1
1762300926349081021,100030.47,100005.47,25.00,25.00,33.68,1
1762300927372982399,100040.80,100040.80,62.50,0.00,23.35,0
1762300928396548499,100040.80,100040.80,62.50,0.00,23.35,0
1762300929416610451,100040.80,100040.80,62.50,0.00,23.35,0
1762300930418791439,100040.80,100040.80,62.50,0.00,23.35,0
1762300931440254971,100040.80,100040.80,62.50,0.00,23.35,0
1762300932530608895,100040.80,100040.80,62.50,0.00,23.35,0
1762300933535497245,100040.80,100040.80,62.50,0.00,23.35,0
1762300934545613737,100040.80,100040.80,62.50,0.00,23.35,0
1762300935680639895,100040.80,100040.80,62.50,0.00,23.35,0
1762300936751185811,100040.80,100040.80,62.50,0.00,23.35,0
