metric,value
initial_capital,100000.00
final_equity,99582.97
total_pnl,-417.03
total_realized_pnl,700.00
total_unrealized_pnl,-12.50
total_commissions,1104.53
total_return_pct,-0.4170
annualized_return_pct,-66.6763
max_drawdown,817.16
max_drawdown_pct,0.8162
max_drawdown_duration_days,0.0471
annualized_volatility,41.4072
downside_deviation,31.2834
sharpe_ratio,-1.7310
sortino_ratio,-2.2912
calmar_ratio,-81.6879
profit_factor,1.3027
total_trades,509
winning_trades,145
losing_trades,74
win_rate_pct,66.2100
avg_win,20.77
avg_loss,-31.25
avg_win_loss_ratio,0.6648
largest_win,50.00
largest_loss,-112.50
avg_pnl_per_trade,1.37
max_position_held,1
total_volume_traded,509
time_in_market_pct,49.8856
backtest_duration_days,0.9583
