timestamp,strategy_id,instrument_id,side,price,quantity,realized_pnl,commission
1762300802049178859,SimpleMarketMaker,294973,BUY,6792.25,1,0.00,2.17
1762300806233918543,SimpleMarketMaker,294973,SELL,6792.75,1,25.00,2.17
1762300833113008243,SimpleMarketMaker,294973,SELL,6792.50,1,0.00,2.17
1762300864748729267,SimpleMarketMaker,294973,BUY,6791.75,1,37.50,2.17
1762300871950869679,SimpleMarketMaker,294973,BUY,6791.25,1,0.00,2.17
1762300873657995901,SimpleMarketMaker,294973,SELL,6791.00,1,-12.50,2.17
1762300874722516321,SimpleMarketMaker,294973,SELL,6791.00,1,0.00,2.17
1762300911892038887,SimpleMarketMaker,294973,BUY,6791.50,1,-25.00,2.17
1762300922172011537,SimpleMarketMaker,294973,SELL,6792.00,1,0.00,2.17
1762300926392129345,SimpleMarketMaker,294973,BUY,6791.25,1,37.50,2.17
1762300942728788395,SimpleMarketMaker,294973,SELL,6791.50,1,0.00,2.17
1762300970731437263,SimpleMarketMaker,294973,BUY,6790.75,1,37.50,2.17
1762300973936048949,SimpleMarketMaker,294973,BUY,6790.25,1,0.00,2.17
1762300974515865627,SimpleMarketMaker,294973,BUY,6789.75,1,0.00,2.17
1762300980008449121,SimpleMarketMaker,294973,SELL,6789.50,1,-25.00,2.17
1762300980746372273,SimpleMarketMaker,294973,SELL,6789.75,1,-12.50,2.17
1762300987935275921,SimpleMarketMaker,294973,SELL,6790.00,1,0.00,2.17
1762300988685719845,SimpleMarketMaker,294973,BUY,6789.75,1,12.50,2.17
1762300989598028441,SimpleMarketMaker,294973,SELL,6790.00,1,0.00,2.17
1762301013408388845,SimpleMarketMaker,294973,BUY,6789.50,1,25.00,2.17
1762301035030355037,SimpleMarketMaker,294973,BUY,6789.00,1,0.00,2.17
1762301035233449039,SimpleMarketMaker,294973,SELL,6788.75,1,-12.50,2.17
1762301039166529465,SimpleMarketMaker,294973,BUY,6788.25,1,0.00,2.17
1762301040405485413,SimpleMarketMaker,294973,SELL,6787.75,1,-25.00,2.17
1762301041215526629,SimpleMarketMaker,294973,SELL,6788.00,1,0.00,2.17
1762301047146718085,SimpleMarketMaker,294973,BUY,6787.25,1,37.50,2.17
1762301049721478843,SimpleMarketMaker,294973,SELL,6788.00,1,0.00,2.17
1762301050968052017,SimpleMarketMaker,294973,BUY,6787.75,1,12.50,2.17
1762301053443415539,SimpleMarketMaker,294973,SELL,6788.25,1,0.00,2.17
1762301054726721935,SimpleMarketMaker,294973,BUY,6787.50,1,37.50,2.17
1762301073812672841,SimpleMarketMaker,294973,BUY,6785.75,1,0.00,2.17
1762301076501133229,SimpleMarketMaker,294973,SELL,6786.00,1,12.50,2.17
1762301078860531633,SimpleMarketMaker,294973,SELL,6786.50,1,0.00,2.17
1762301081944929427,SimpleMarketMaker,294973,BUY,6786.00,1,25.00,2.17
1762301089297171417,SimpleMarketMaker,294973,SELL,6786.25,1,0.00,2.17
1762301097950552001,SimpleMarketMaker,294973,BUY,6786.50,1,-12.50,2.17
1762301104192401963,SimpleMarketMaker,294973,SELL,6786.75,1,0.00,2.17
1762301114571830035,SimpleMarketMaker,294973,BUY,6787.75,1,-50.00,2.17
1762301122425246857,SimpleMarketMaker,294973,SELL,6787.00,1,0.00,2.17
1762301136392511001,SimpleMarketMaker,294973,BUY,6788.50,1,-75.00,2.17
1762301139164868973,SimpleMarketMaker,294973,SELL,6788.50,1,0.00,2.17
1762301142973166221,SimpleMarketMaker,294973,BUY,6788.00,1,25.00,2.17
1762301148464484297,SimpleMarketMaker,294973,BUY,6787.00,1,0.00,2.17
1762301150076676451,SimpleMarketMaker,294973,SELL,6787.25,1,12.50,2.17
1762301156842640389,SimpleMarketMaker,294973,SELL,6787.75,1,0.00,2.17
1762301173674509125,SimpleMarketMaker,294973,BUY,6788.25,1,-25.00,2.17
1762301183487943203,SimpleMarketMaker,294973,SELL,6787.25,1,0.00,2.17
1762301183801940613,SimpleMarketMaker,294973,BUY,6786.75,1,25.00,2.17
1762301192551022663,SimpleMarketMaker,294973,BUY,6786.25,1,0.00,2.17
1762301201467521615,SimpleMarketMaker,294973,SELL,6786.00,1,-12.50,2.17
1762301204661441587,SimpleMarketMaker,294973,BUY,6785.50,1,0.00,2.17
1762301206033039367,SimpleMarketMaker,294973,SELL,6783.75,1,-87.50,2.17
1762301209413291487,SimpleMarketMaker,294973,SELL,6783.50,1,0.00,2.17
1762301210160496609,SimpleMarketMaker,294973,BUY,6783.25,1,12.50,2.17
