timestamp,equity,cash,realized_pnl,unrealized_pnl,drawdown,open_position_qty
1762353000001111519,100000.00,100000.00,0.00,0.00,0.00,0
1762353001001172329,100000.00,100000.00,0.00,0.00,0.00,0
1762353002001235951,100000.00,100000.00,0.00,0.00,0.00,0
1762353003003525543,100000.00,100000.00,0.00,0.00,0.00,0
1762353004005983879,100000.00,100000.00,0.00,0.00,0.00,0
1762353005008884733,100000.00,100000.00,0.00,0.00,0.00,0
1762353006010685999,100000.00,100000.00,0.00,0.00,0.00,0
1762353007040330021,100000.00,100000.00,0.00,0.00,0.00,0
1762353008049319055,100000.00,100000.00,0.00,0.00,0.00,0
1762353009053572903,100000.00,100000.00,0.00,0.00,0.00,0
1762353010054667241,100000.00,100000.00,0.00,0.00,0.00,0
1762353011061120313,100000.00,100000.00,0.00,0.00,0.00,0
1762353012071757893,100000.00,100000.00,0.00,0.00,0.00,0
1762353013073725289,100000.00,100000.00,0.00,0.00,0.00,0
1762353014073836933,100000.00,100000.00,0.00,0.00,0.00,0
1762353015087512295,100000.00,100000.00,0.00,0.00,0.00,0
1762353016087732201,100000.00,100000.00,0.00,0.00,0.00,0
1762353017090323877,100000.00,100000.00,0.00,0.00,0.00,0
1762353018090340139,100000.00,100000.00,0.00,0.00,0.00,0
1762353019102513005,100000.00,100000.00,0.00,0.00,0.00,0
1762353020104189905,100000.00,100000.00,0.00,0.00,0.00,0
1762353021107653401,100000.00,100000.00,0.00,0.00,0.00,0
1762353022110960717,100000.00,100000.00,0.00,0.00,0.00,0
1762353023115944903,100000.00,100000.00,0.00,0.00,0.00,0
1762353024119961453,100000.00,100000.00,0.00,0.00,0.00,0
1762353025133987525,100000.00,100000.00,0.00,0.00,0.00,0
1762353026134211441,100000.00,100000.00,0.00,0.00,0.00,0
1762353027134402815,100000.00,100000.00,0.00,0.00,0.00,0
1762353028134563257,100000.00,100000.00,0.00,0.00,0.00,0
1762353029143149577,100000.00,100000.00,0.00,0.00,0.00,0
1762353030145195989,100000.00,100000.00,0.00,0.00,0.00,0
1762353031185782961,100000.00,100000.00,0.00,0.00,0.00,0
1762353032187079797,100000.00,100000.00,0.00,0.00,0.00,0
1762353033187257435,100000.00,100000.00,0.00,0.00,0.00,0
1762353034190111375,100000.00,100000.00,0.00,0.00,0.00,0
1762353035195361041,100000.00,100000.00,0.00,0.00,0.00,0
1762353036204163587,100000.00,100000.00,0.00,0.00,0.00,0
1762353037215323197,100000.00,100000.00,0.00,0.00,0.00,0
1762353038219475249,100000.00,100000.00,0.00,0.00,0.00,0
1762353039221430107,100000.00,100000.00,0.00,0.00,0.00,0
1762353040225516733,100000.00,100000.00,0.00,0.00,0.00,0
1762353041227133795,100000.00,100000.00,0.00,0.00,0.00,0
1762353042227880947,100000.00,100000.00,0.00,0.00,0.00,0
1762353043230172421,100000.00,100000.00,0.00,0.00,0.00,0
1762353044232717485,100000.00,100000.00,0.00,0.00,0.00,0
1762353045238467669,100000.00,100000.00,0.00,0.00,0.00,0
1762353046241528625,100000.00,100000.00,0.00,0.00,0.00,0
1762353047249909923,100000.00,100000.00,0.00,0.00,0.00,0
1762353048276002575,100000.00,100000.00,0.00,0.00,0.00,0
1762353049290108609,100000.00,100000.00,0.00,0.00,0.00,0
1762353050290303543,100000.00,100000.00,0.00,0.00,0.00,0
1762353051290599715,100000.00,100000.00,0.00,0.00,0.00,0
1762353052304137717,100000.00,100000.00,0.00,0.00,0.00,0
1762353053304386201,100000.00,100000.00,0.00,0.00,0.00,0
1762353054331572195,100000.00,100000.00,0.00,0.00,0.00,0
1762353055331773299,100000.00,100000.00,0.00,0.00,0.00,0
1762353056332411611,100000.00,100000.00,0.00,0.00,0.00,0
1762353057335641385,100000.00,100000.00,0.00,0.00,0.00,0
1762353058350568325,100000.00,100000.00,0.00,0.00,0.00,0
1762353059354301027,100000.00,100000.00,0.00,0.00,0.00,0
1762353060354832801,100000.00,100000.00,0.00,0.00,0.00,0
1762353061357850807,100000.00,100000.00,0.00,0.00,0.00,0
1762353062388769583,100000.00,100000.00,0.00,0.00,0.00,0
1762353063388809715,100000.00,100000.00,0.00,0.00,0.00,0
1762353064389996263,100000.00,100000.00,0.00,0.00,0.00,0
1762353065390209181,100000.00,100000.00,0.00,0.00,0.00,0
1762353066397984281,100000.00,100000.00,0.00,0.00,0.00,0
1762353067398830017,100000.00,100000.00,0.00,0.00,0.00,0
1762353068411978281,100000.00,100000.00,0.00,0.00,0.00,0
1762353069417395427,100000.00,100000.00,0.00,0.00,0.00,0
1762353070424718549,100000.00,100000.00,0.00,0.00,0.00,0
1762353071424737565,100000.00,100000.00,0.00,0.00,0.00,0
1762353072425346209,100000.00,100000.00,0.00,0.00,0.00,0
1762353073425503671,100000.00,100000.00,0.00,0.00,0.00,0
1762353074429311335,100000.00,100000.00,0.00,0.00,0.00,0
1762353075432382485,100000.00,100000.00,0.00,0.00,0.00,0
1762353076441611309,100000.00,100000.00,0.00,0.00,0.00,0
1762353077442786299,100000.00,100000.00,0.00,0.00,0.00,0
1762353078446580421,100000.00,100000.00,0.00,0.00,0.00,0
1762353079446653785,100000.00,100000.00,0.00,0.00,0.00,0
1762353080460881963,100000.00,100000.00,0.00,0.00,0.00,0
1762353081463687291,100000.00,100000.00,0.00,0.00,0.00,0
1762353082469023027,100000.00,100000.00,0.00,0.00,0.00,0
1762353083469146731,100000.00,100000.00,0.00,0.00,0.00,0
1762353084474423373,100000.00,100000.00,0.00,0.00,0.00,0
1762353085475581675,100000.00,100000.00,0.00,0.00,0.00,0
1762353086480082365,100000.00,100000.00,0.00,0.00,0.00,0
1762353087483505395,100000.00,100000.00,0.00,0.00,0.00,0
1762353088483630797,100000.00,100000.00,0.00,0.00,0.00,0
1762353089483638051,100000.00,100000.00,0.00,0.00,0.00,0
1762353090484911551,100000.00,100000.00,0.00,0.00,0.00,0
1762353091486047481,100000.00,100000.00,0.00,0.00,0.00,0
1762353092487724027,100000.00,100000.00,0.00,0.00,0.00,0
1762353093490487629,100000.00,100000.00,0.00,0.00,0.00,0
1762353094490601181,100000.00,100000.00,0.00,0.00,0.00,0
1762353095492423125,100000.00,100000.00,0.00,0.00,0.00,0
1762353096497353375,100000.00,100000.00,0.00,0.00,0.00,0
1762353097512757861,100000.00,100000.00,0.00,0.00,0.00,0
1762353098519945375,100000.00,100000.00,0.00,0.00,0.00,0
1762353099535500153,100000.00,100000.00,0.00,0.00,0.00,0
1762353100541993621,100000.00,100000.00,0.00,0.00,0.00,0
1762353101544450641,100000.00,100000.00,0.00,0.00,0.00,0
1762353102545079129,100000.00,100000.00,0.00,0.00,0.00,0
1762353103569573459,100000.00,100000.00,0.00,0.00,0.00,0
1762353104574318211,100000.00,100000.00,0.00,0.00,0.00,0
1762353105574444301,100000.00,100000.00,0.00,0.00,0.00,0
1762353106587951665,100000.00,100000.00,0.00,0.00,0.00,0
1762353107596147219,100000.00,100000.00,0.00,0.00,0.00,0
1762353108622938369,100000.00,100000.00,0.00,0.00,0.00,0
1762353109642016525,100000.00,100000.00,0.00,0.00,0.00,0
1762353110665032261,100000.00,100000.00,0.00,0.00,0.00,0
1762353111665107367,100000.00,100000.00,0.00,0.00,0.00,0
1762353112666051289,100000.00,100000.00,0.00,0.00,0.00,0
1762353113683036693,100000.00,100000.00,0.00,0.00,0.00,0
1762353114684811319,100000.00,100000.00,0.00,0.00,0.00,0
1762353115708316257,100000.00,100000.00,0.00,0.00,0.00,0
1762353116711610071,100000.00,100000.00,0.00,0.00,0.00,0
1762353117711779207,100000.00,100000.00,0.00,0.00,0.00,0
1762353118713113947,100000.00,100000.00,0.00,0.00,0.00,0
1762353119720897889,100000.00,100000.00,0.00,0.00,0.00,0
1762353120722757249,100000.00,100000.00,0.00,0.00,0.00,0
1762353121722828845,100000.00,100000.00,0.00,0.00,0.00,0
