metric,value
initial_capital,100000.00
final_equity,100585.42
total_pnl,585.42
total_realized_pnl,637.50
total_unrealized_pnl,0.00
total_commissions,52.08
total_return_pct,0.5854
annualized_return_pct,22742.9051
max_drawdown,975.52
max_drawdown_pct,0.9649
max_drawdown_duration_days,0.2039
annualized_volatility,34.0179
downside_deviation,23.6748
sharpe_ratio,668.4102
sortino_ratio,960.4252
calmar_ratio,23571.3477
profit_factor,1.4636
total_trades,24
winning_trades,8
losing_trades,4
win_rate_pct,66.6667
avg_win,251.56
avg_loss,-343.75
avg_win_loss_ratio,0.7318
largest_win,262.50
largest_loss,-350.00
avg_pnl_per_trade,26.56
max_position_held,1
total_volume_traded,24
time_in_market_pct,58.0300
backtest_duration_days,0.2708
